RU000A102424,Сафмар Ритейл оббКП01,Сафмар Ритейл оббКП01,Safmar Ritejl obbKP01,1000.0,RUB,,RU000A102424,36744544000,stock_bonds,2024-03-11,50.13,,non_exchange_bond
RU000A1014V7,Леди&Джентльмен Сити БО-П01,Л&Д БП1,LADY&GENTLEMAN City BO-P01,8000.0,SUR,2019-12-04,RU000A1014V7,20000,stock_bonds,2023-11-13,92.05,,exchange_bond
RU000A1032L0,СберИОС 001Р-440R 7Г СШАМ ИНД,СберИОС440,SberIOS 001P-440R 7Y USAM IND,1000.0,SUR,2021-05-28,RU000A1032L0,220858,stock_bonds,2028-06-02,0.7,,exchange_bond
XS2116222451,TMK CAPITAL S.A. 4.3 12/02/27,TMK-27,TMK CAPITAL S.A. 4.3 12/02/27,1000.0,USD,2020-02-12,XS2116222451,500000,stock_bonds,2027-02-12,21.5,,corporate_bond
RU000A101574,ЕАБР БО 001Р-05,ЕАБР 1Р-05,Eurasian Develop Bank 1P-05,1000.0,SUR,2019-12-13,RU000A101574,8000000,stock_bonds,2023-06-09,33.91,,exchange_bond
RU000A102V51,Нафтатранс плюс ООО БО-03,НафттрнБО3,Naftatrans plus LLC BO-03,1000.0,SUR,2021-03-18,RU000A102V51,500000,stock_bonds,2026-02-20,9.86,,exchange_bond
RU000A103PG3,Славнефть БО 002Р-02,Славнеф2Р2,SLAVNEFT 002P-02,1000.0,SUR,2021-09-14,RU000A103PG3,10000000,stock_bonds,2031-09-02,19.32,,exchange_bond
RU000A101JA3,Банк ВТБ (ПАО) Б-1-59,ВТБ Б-1-59,Bank VTB B-1-59,1000.0,SUR,2020-03-17,RU000A101JA3,261675,stock_bonds,2023-03-14,0.05,,exchange_bond
RU000A102QL3,Банк ВТБ ПАО СУБ-Т1-2,ВТБСУБТ1-2,Bank VTB SUB-T1-2,125000.0,EUR,2021-02-08,RU000A102QL3,1520,stock_bonds,,2337.33,,corporate_bond
RU000A103U02,Банк ВТБ (ПАО) Б-1-245,ВТБ Б1-245,Bank VTB B-1-245,1000.0,SUR,2021-11-17,RU000A103U02,269657,stock_bonds,2026-11-11,0.05,,exchange_bond
RU000A0ZYF38,ДОМ.РФ (АО) БО-07,ДОМ.РФ Б-7,DOM.RF BO-07,1000.0,SUR,2017-11-08,RU000A0ZYF38,5000000,stock_bonds,2050-11-07,19.2,,exchange_bond
RU000A0ZZDM7,Сбербанк ПАО БCО 001P-13R,СберИОС13,Sberbank BSO 001P-13R,1000.0,SUR,2018-07-19,RU000A0ZZDM7,368445,stock_bonds,2022-01-26,0.35,,exchange_bond
XS2212035690,BCS SP Plc Series 108,BCS06/25-9,BCS SP Plc Series 108,100000.0,SUR,2020-08-04,XS2212035690,6000,stock_bonds,2025-06-30,4763.0136,,corporate_bond
RU000A0JWF30,ИАМультиоригинаторный 1 кл.А/4,ИАМлтор1А4,IA Multi Originator 1 cl.A/4,83.14,SUR,2016-04-29,RU000A0JWF30,2126971,stock_bonds,2045-11-17,2.31,,corporate_bond
XS2010044621,Sibur Securities DAC 23/09/24,SIB-24,Sibur Securities DAC 23/09/24,1000.0,USD,2019-09-23,XS2010044621,500000,stock_bonds,2024-09-23,17.25,,corporate_bond
RU000A102DR8,Омская область 35004,ОмскОб20,Omsk region 35004,1000.0,SUR,2020-11-24,RU000A102DR8,5000000,stock_bonds,2025-11-24,16.08,,subfederal_bond
RU000A102E37,РЖД 001Б-05,РЖД 1Б-05,RZD 001B-05,1000000.0,SUR,2020-11-30,RU000A102E37,33000,stock_bonds,,43680.0,,corporate_bond
RU000A101EW8,РОСНАНО АО БО-002P-02,iРОСНАН2P2,RUSNANO BO-002P-02,1000.0,SUR,2020-02-14,RU000A101EW8,1680000,stock_bonds,2025-11-10,24.81,,exchange_bond
RU000A103H66,Сбербанк ПАО 001Р-SBER34,Сбер Sb34R,Sber 001P-SBER34,1000.0,SUR,2021-08-06,RU000A103H66,5000000,stock_bonds,2026-07-31,37.05,,exchange_bond
RU000A1001R2,Сбербанк ПАО ИОС 001P-26R,СберИОС26,Sberbank IOS 001P-26R,1000.0,USD,2019-01-24,RU000A1001R2,14275,stock_bonds,2024-01-24,31.02,,exchange_bond
RU000A1027X5,Банк ВТБ (ПАО) Б-1-152,ВТБ Б1-152,Bank VTB B-1-152,1000.0,SUR,2020-12-01,RU000A1027X5,190091,stock_bonds,2022-11-29,0.05,,exchange_bond
RU000A102895,Новосибирская область 34021,Новосиб 21,Novosibirsk region 34021,1000.0,SUR,2020-10-15,RU000A102895,5000000,stock_bonds,2025-10-14,14.58,,subfederal_bond
RU000A102US0,ТАЛАН-ФИНАНС БО 001Р-02,ТАЛАНФБ1P2,TALAN-FINANCE BO 001P-02,1000.0,SUR,2021-03-17,RU000A102US0,500000,stock_bonds,2024-03-13,26.18,,exchange_bond
XS2306838595,BCS SP Plc Series 148,BCS07/24-2,BCS SP Plc Series 148,1250.0,USD,2021-02-26,XS2306838595,8000,stock_bonds,2024-07-08,0.0,,corporate_bond
XS0993162683,Veb Finance plc 5.942 21/11/23,Veb-23,Veb Finance plc 5.942 21/11/23,1000.0,USD,2013-11-21,XS0993162683,1150000,stock_bonds,2023-11-21,29.71,,corporate_bond
RU000A103PF5,СберИОС 001Р-469R 5Г SBRIF ИНД,СберИОС469,SberIOS 001P-469R 5Y SBRIF IND,1000.0,SUR,2021-09-30,RU000A103PF5,175389,stock_bonds,2026-10-07,0.5,,exchange_bond
XS2191043913,BCS SP Plc Series 98,BCS06/25-6,BCS SP Plc Series 98,1250.0,USD,2020-06-18,XS2191043913,3200,stock_bonds,2025-06-30,31.335616,,corporate_bond
XS2346922755,Steel Funding DAC 02/06/26,NLMK-26 EU,Steel Funding DAC 02/06/26,1000.0,EUR,2021-06-02,XS2346922755,500000,stock_bonds,2026-06-02,14.5,,corporate_bond
RU000A102MC1,ИА Титан-3 02,Титан-3 02,MA Titan-3 02,1000.0,SUR,2021-03-03,RU000A102MC1,323614,stock_bonds,2053-07-28,,,exchange_bond
RU000A102QK5,ФК Открытие обКП15,ФК Открытие обКП15,FK Otkryitie obKP15,1000.0,RUB,,RU000A102QK5,48619000,stock_bonds,2028-02-04,9.0,,non_exchange_bond
RU000A0JWVT5,РЕСО-Лизинг ООО БО-5,РЕСОЛизБ05,RESO-Lizing B05,1000.0,SUR,2016-10-14,RU000A0JWVT5,3000000,stock_bonds,2026-10-02,40.89,,exchange_bond
RU000A100238,Мобильные ТелеСистемы 001P-07,МТС 1P-07,MTS 001P-07,1000.0,SUR,2019-01-29,RU000A100238,10000000,stock_bonds,2024-01-23,21.69,,exchange_bond
RU000A1014U9,ТП Кировский 001P-01R,ТП Кир 1P1,TC Kirovskyyi 001P-01R,1000.0,SUR,2019-12-04,RU000A1014U9,1200000,stock_bonds,2029-11-21,28.67,,exchange_bond
RU000A0ZYF20,ДОМ.РФ (АО) БО-06,ДОМ.РФ Б-6,DOM.RF BO-06,1000.0,SUR,2017-11-08,RU000A0ZYF20,5000000,stock_bonds,2050-11-07,19.2,,exchange_bond
RU000A101S16,Республика Казахстан 13,Казахст13,Republic of Kazakhstan 13,1000.0,SUR,2021-06-28,RU000A101S16,10000000,stock_bonds,2031-06-16,39.49,,ofz_bond
RU000A102416,СберИОС 001Р-321R 5Г SBERDVTI,СберИОС321,SberIOS 001P-321R 5Y SBERDVTI,1000.0,SUR,2020-09-29,RU000A102416,62780,stock_bonds,2025-10-06,32.0,,exchange_bond
RU000A1032K2,СберИОС 001Р-438R 5Г SBRIF ИНД,СберИОС438,SberIOS 001P-438R 5Y SBRIF IND,1000.0,SUR,2021-05-27,RU000A1032K2,345562,stock_bonds,2026-06-03,0.5,,exchange_bond
RU000A1036S6,ФСК ЕЭС ПАО БО 001P-03R,ФСК ЕЭС1Р3,FGC UES BO 001P-03R,1000.0,SUR,2021-06-09,RU000A1036S6,10000000,stock_bonds,2036-05-21,18.7,,exchange_bond
RU000A1010M4,РЖД ОАО БО 001Р-17R,РЖД 1Р-17R,RZD BO 001P-17R,1000.0,SUR,2019-11-11,RU000A1010M4,15000000,stock_bonds,2025-11-03,33.66,,exchange_bond
RU000A101NH0,Мобильные ТелеСистемы 001P-16,МТС 1P-16,MTS 001P-16,1000.0,SUR,2020-05-14,RU000A101NH0,7000000,stock_bonds,2027-05-06,16.45,,exchange_bond
RU000A101RP4,Республика Казахстан 01,Казахст01,Republic of Kazakhstan 01,1000.0,SUR,2020-09-23,RU000A101RP4,20000000,stock_bonds,2023-09-20,26.93,,ofz_bond
RU000A103745,БК обК02,БК обК02,BK obK02,10000.0,RUB,,RU000A103745,16000000,stock_bonds,2022-11-26,123.29,,non_exchange_bond
RU000A103TN1,СберИОС 001Р-418R 5Г SPX,СберИОС418,SberIOS 001P-418R 5Y SPX,1000.0,SUR,2021-10-14,RU000A103TN1,79021,stock_bonds,2026-10-09,0.1,,exchange_bond
SU52003RMFS9,ОФЗ-ИН 52003,ОФЗ 52003,OFZ-IN 52003,1074.07,SUR,2020-08-12,RU000A102069,250000000,stock_bonds,2030-07-17,13.39,,ofz_bond
RU000A0JS4Z7,ВЭБ.РФ об. сер. 21,ВЭБ.РФ 21,VEB.RF 21,1000.0,SUR,2012-03-13,RU000A0JS4Z7,15000000,stock_bonds,2032-02-17,43.98,,corporate_bond
RU000A102DQ0,Свердловская область 34010,СвердлОб10,Sverdlovsk Region 34010,1000.0,SUR,2020-11-24,RU000A102DQ0,10000000,stock_bonds,2024-11-23,14.46,,subfederal_bond
RU000A0JTMK9,РусГидро (ПАО) 08,РусГидро08,RusGidro(PAO) 08,1000.0,SUR,2013-02-14,RU000A0JTMK9,10000000,stock_bonds,2023-02-02,0.5,,corporate_bond
RU000A0ZYEQ9,"""Сэтл-Групп"" ООО БО-001P-01",СэтлГрБ1P1,Setl-Grupp BO-001P-01,450.0,SUR,2017-11-02,RU000A0ZYEQ9,5000000,stock_bonds,2022-10-27,10.88,,exchange_bond
SU29007RMFS0,ОФЗ-ПК 29007 03/03/27,ОФЗ 29007,OFZ-PD 29007,1000.0,SUR,2014-12-31,RU000A0JV4M0,390287001,stock_bonds,2027-03-03,32.21,,ofz_bond
RU000A103PE8,Промсвязьбанк 003P-07,ПСБ 3P-07,Promsvyazbank 003P-07,1000.0,SUR,2021-09-14,RU000A103PE8,15000000,stock_bonds,2024-09-10,40.64,,exchange_bond
RU000A103GT5,АО Россельхозбанк БО-01RS-Р,РСХБ Б01RS,JSC Rosselkhozbank BO-01RS-P,1000.0,USD,2021-08-03,RU000A103GT5,290,stock_bonds,2024-07-23,1.19,,exchange_bond
RU000A0ZZQH9,Свердловская область 05,СвердлОбл5,Sverdlovsk Region 05,800.0,SUR,2018-10-25,RU000A0ZZQH9,5000000,stock_bonds,2026-10-23,17.31,,subfederal_bond
RU000A100220,РОСБАНК ПАО обл. БО-002P-04,Росбанк2P4,Rosbank BO-002P-04,1000.0,SUR,2019-01-29,RU000A100220,10000000,stock_bonds,2022-01-31,44.87,,exchange_bond
XS2027360507,BCS SP Plc Series 2019-8,BCS GM3,BCS SP Plc Series 2019-8,1250.0,USD,2019-07-16,XS2027360507,8000,stock_bonds,2024-12-23,43.87,,corporate_bond
RU000A102MB3,ИА Титан-3 01,Титан-3 01,MA Titan-3 01,663.28,SUR,2021-03-03,RU000A102MB3,2275000,stock_bonds,2053-07-28,12.46,,exchange_bond
RU000A102QJ7,Банк ВТБ ПАО СУБ-Т1-1,ВТБСУБТ1-1,Bank VTB SUB-T1-1,150000.0,USD,2021-02-08,RU000A102QJ7,5500,stock_bonds,,3739.73,,corporate_bond
RU000A101S08,Республика Казахстан 12,Казахст12,Republic of Kazakhstan 12,1000.0,SUR,2021-06-28,RU000A101S08,10000000,stock_bonds,2031-06-16,39.49,,ofz_bond
RU000A1032J4,Агрохолдинг Солтон БО-01,Солтон Б1,Solton BO-01,1000.0,SUR,2021-04-30,RU000A1032J4,60000,stock_bonds,2024-04-14,10.68,,exchange_bond
