IBM-RM,Intl. Business Machines Corp.,IBM,Intl. Business Machines Corp.,0.2,USD,2020-12-01,US4592001014,896320073,stock_shares,common_share,0.0,0.0
KROTP,КрасныйОктябрь-1п,КрасОкт-1п,KrasnyiOctabr-1(pr),1.0,SUR,2005-01-11,RU0008913868,1474549,stock_shares,preferred_share,0.0,0.0
VTRS-RM,Viatris Inc.,Viatris,Viatris Inc.,0.01,USD,2020-12-01,US92556V1061,1209290460,stock_shares,common_share,0.0,0.0
NKNC,"""Нижнекамскнефтехим"" ПАО ао",НКНХ ао,Niznekamskneftekhim ao,1.0,SUR,2008-04-04,RU0009100507,1611256000,stock_shares,common_share,0.0,0.0
IGSTP,Ижсталь ПАО ап,Ижсталь ап,Izhstal ap,1000.0,SUR,2011-12-08,RU0002155300,266910,stock_shares,preferred_share,0.0,0.0
legs,"Акционерное общество ""Ленгазспецстрой""","АО ""ЛГСС""","Joint Stock Company ""Lengazspetsstroy""",1.0,RUB,,RU000A0JNN56,50448,stock_shares,common_share,0.0,0.0
C-RM,Citigroup Inc,Citigroup,Citigroup Inc,0.01,USD,2021-07-01,US1729674242,2026785183,stock_shares,common_share,0.0,0.0
PINS-RM,Pinterest Ord Shs Class A,PinterestA,Pinterest Ord Shs Class A,1.0E-5,USD,2021-09-01,US72352L1061,555177057,stock_shares,common_share,0.0,0.0
VMC-RM,Vulcan Materials Ord Shs,VulcanMats,Vulcan Materials Ord Shs,1.0,USD,2021-09-01,US9291601097,132678269,stock_shares,common_share,0.0,0.0
TGT-RM,Target Corporation,Target,Target Corporation,0.0833,USD,2020-12-01,US87612E1064,488039053,stock_shares,common_share,0.0,0.0
SBERP,Сбербанк России ПАО ап,Сбербанк-п,Sberbank (pref),3.0,SUR,2007-07-20,RU0009029557,1000000000,stock_shares,preferred_share,0.0,0.0
KR-RM,The Kroger Co.,The Kroger,The Kroger Co.,1.0,USD,2021-04-01,US5010441013,743638489,stock_shares,common_share,0.0,0.0
